target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
18_186	500	0.816	1.000	0.818	46646.360	233	-1.018
18_187	500	0.991	1.000	1.000	127993.289	640	0.440
18_188	500	0.744	1.000	0.733	29074.650	145	-1.702
18_189	500	0.618	1.000	0.614	15048.943	75	-2.653
18_190	500	0.512	1.000	0.546	10320.665	51	-3.209
18_191	500	0.799	1.000	0.857	57927.360	290	-0.702
18_192	500	0.886	1.000	0.883	66721.898	334	-0.498
18_193	500	0.947	1.000	0.931	87391.440	437	-0.110
18_194	500	0.947	1.000	0.906	76122.971	381	-0.308
18_195	500	0.961	1.000	0.854	56856.551	284	-0.732
18_196	500	0.714	1.000	0.667	20209.633	101	-2.224
18_197	500	0.942	1.000	0.935	89312.706	447	-0.078
18_198	500	0.534	1.000	0.491	7614.942	38	-3.634
18_199	500	0.991	1.000	1.112	238353.486	1193	1.339
19	500	1.000	1.000	0.967	106388.920	532	0.174
19_20	500	1.000	1.000	1.077	195648.946	979	1.053
19_21	500	1.000	1.000	0.985	117577.649	588	0.318
19_22	500	1.000	1.000	0.946	94683.821	474	0.007
19_23	500	1.000	1.000	1.036	156468.492	783	0.731
19_24	500	1.000	1.000	0.944	93585.039	468	-0.011
19_25	500	1.000	1.000	0.988	119628.632	599	0.345
